TIMESTAMP,solar_TIMESTAMP,GUF_GUY_ST2_Dgu_Js_1,GUF_GUY_ST2_Dgu_Js_2,GUF_GUY_ST2_Dgu_Js_3,GUF_GUY_ST2_Dgu_Js_4,GUF_GUY_ST2_Vsp_Js_5,GUF_GUY_ST2_Oas_Js_6,GUF_GUY_ST2_Oas_Js_7,GUF_GUY_ST2_Rsp_Js_8,GUF_GUY_ST2_Ssp_Js_9,GUF_GUY_ST2_Vam_Js_10,GUF_GUY_ST2_Ggl_Js_11
2008-01-01T17:30:00Z,2008-01-01T13:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T18:00:00Z,2008-01-01T14:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T18:30:00Z,2008-01-01T14:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T19:00:00Z,2008-01-01T15:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T19:30:00Z,2008-01-01T15:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T20:00:00Z,2008-01-01T16:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T20:30:00Z,2008-01-01T16:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T21:00:00Z,2008-01-01T17:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T21:30:00Z,2008-01-01T17:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T22:00:00Z,2008-01-01T18:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T22:30:00Z,2008-01-01T18:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T23:00:00Z,2008-01-01T19:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-01T23:30:00Z,2008-01-01T19:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T00:00:00Z,2008-01-01T20:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T00:30:00Z,2008-01-01T20:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T01:00:00Z,2008-01-01T21:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T01:30:00Z,2008-01-01T21:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T02:00:00Z,2008-01-01T22:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T02:30:00Z,2008-01-01T22:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T03:00:00Z,2008-01-01T23:23:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T03:30:00Z,2008-01-01T23:53:46Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T04:00:00Z,2008-01-02T00:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T04:30:00Z,2008-01-02T00:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T05:00:00Z,2008-01-02T01:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T05:30:00Z,2008-01-02T01:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T06:00:00Z,2008-01-02T02:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T06:30:00Z,2008-01-02T02:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T07:00:00Z,2008-01-02T03:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T07:30:00Z,2008-01-02T03:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T08:00:00Z,2008-01-02T04:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T08:30:00Z,2008-01-02T04:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T09:00:00Z,2008-01-02T05:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T09:30:00Z,2008-01-02T05:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T10:00:00Z,2008-01-02T06:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T10:30:00Z,2008-01-02T06:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T11:00:00Z,2008-01-02T07:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T11:30:00Z,2008-01-02T07:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T12:00:00Z,2008-01-02T08:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T12:30:00Z,2008-01-02T08:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T13:00:00Z,2008-01-02T09:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T13:30:00Z,2008-01-02T09:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T14:00:00Z,2008-01-02T10:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T14:30:00Z,2008-01-02T10:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T15:00:00Z,2008-01-02T11:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T15:30:00Z,2008-01-02T11:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T16:00:00Z,2008-01-02T12:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T16:30:00Z,2008-01-02T12:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T17:00:00Z,2008-01-02T13:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T17:30:00Z,2008-01-02T13:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T18:00:00Z,2008-01-02T14:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T18:30:00Z,2008-01-02T14:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T19:00:00Z,2008-01-02T15:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T19:30:00Z,2008-01-02T15:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T20:00:00Z,2008-01-02T16:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T20:30:00Z,2008-01-02T16:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T21:00:00Z,2008-01-02T17:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T21:30:00Z,2008-01-02T17:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T22:00:00Z,2008-01-02T18:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T22:30:00Z,2008-01-02T18:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T23:00:00Z,2008-01-02T19:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-02T23:30:00Z,2008-01-02T19:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T00:00:00Z,2008-01-02T20:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T00:30:00Z,2008-01-02T20:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T01:00:00Z,2008-01-02T21:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T01:30:00Z,2008-01-02T21:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T02:00:00Z,2008-01-02T22:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T02:30:00Z,2008-01-02T22:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T03:00:00Z,2008-01-02T23:23:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T03:30:00Z,2008-01-02T23:53:21Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T04:00:00Z,2008-01-03T00:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T04:30:00Z,2008-01-03T00:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T05:00:00Z,2008-01-03T01:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T05:30:00Z,2008-01-03T01:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T06:00:00Z,2008-01-03T02:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T06:30:00Z,2008-01-03T02:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T07:00:00Z,2008-01-03T03:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T07:30:00Z,2008-01-03T03:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T08:00:00Z,2008-01-03T04:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T08:30:00Z,2008-01-03T04:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T09:00:00Z,2008-01-03T05:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T09:30:00Z,2008-01-03T05:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T10:00:00Z,2008-01-03T06:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T10:30:00Z,2008-01-03T06:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T11:00:00Z,2008-01-03T07:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T11:30:00Z,2008-01-03T07:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T12:00:00Z,2008-01-03T08:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T12:30:00Z,2008-01-03T08:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T13:00:00Z,2008-01-03T09:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T13:30:00Z,2008-01-03T09:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T14:00:00Z,2008-01-03T10:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T14:30:00Z,2008-01-03T10:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T15:00:00Z,2008-01-03T11:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T15:30:00Z,2008-01-03T11:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T16:00:00Z,2008-01-03T12:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T16:30:00Z,2008-01-03T12:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T17:00:00Z,2008-01-03T13:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T17:30:00Z,2008-01-03T13:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T18:00:00Z,2008-01-03T14:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T18:30:00Z,2008-01-03T14:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T19:00:00Z,2008-01-03T15:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T19:30:00Z,2008-01-03T15:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T20:00:00Z,2008-01-03T16:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T20:30:00Z,2008-01-03T16:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T21:00:00Z,2008-01-03T17:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T21:30:00Z,2008-01-03T17:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T22:00:00Z,2008-01-03T18:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T22:30:00Z,2008-01-03T18:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T23:00:00Z,2008-01-03T19:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-03T23:30:00Z,2008-01-03T19:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T00:00:00Z,2008-01-03T20:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T00:30:00Z,2008-01-03T20:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T01:00:00Z,2008-01-03T21:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T01:30:00Z,2008-01-03T21:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T02:00:00Z,2008-01-03T22:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T02:30:00Z,2008-01-03T22:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T03:00:00Z,2008-01-03T23:22:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T03:30:00Z,2008-01-03T23:52:56Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T04:00:00Z,2008-01-04T00:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T04:30:00Z,2008-01-04T00:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T05:00:00Z,2008-01-04T01:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T05:30:00Z,2008-01-04T01:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T06:00:00Z,2008-01-04T02:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T06:30:00Z,2008-01-04T02:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T07:00:00Z,2008-01-04T03:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T07:30:00Z,2008-01-04T03:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T08:00:00Z,2008-01-04T04:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T08:30:00Z,2008-01-04T04:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T09:00:00Z,2008-01-04T05:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T09:30:00Z,2008-01-04T05:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T10:00:00Z,2008-01-04T06:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T10:30:00Z,2008-01-04T06:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T11:00:00Z,2008-01-04T07:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T11:30:00Z,2008-01-04T07:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T12:00:00Z,2008-01-04T08:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T12:30:00Z,2008-01-04T08:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T13:00:00Z,2008-01-04T09:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T13:30:00Z,2008-01-04T09:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T14:00:00Z,2008-01-04T10:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T14:30:00Z,2008-01-04T10:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T15:00:00Z,2008-01-04T11:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T15:30:00Z,2008-01-04T11:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T16:00:00Z,2008-01-04T12:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T16:30:00Z,2008-01-04T12:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T17:00:00Z,2008-01-04T13:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T17:30:00Z,2008-01-04T13:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T18:00:00Z,2008-01-04T14:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T18:30:00Z,2008-01-04T14:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T19:00:00Z,2008-01-04T15:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T19:30:00Z,2008-01-04T15:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T20:00:00Z,2008-01-04T16:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T20:30:00Z,2008-01-04T16:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T21:00:00Z,2008-01-04T17:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T21:30:00Z,2008-01-04T17:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T22:00:00Z,2008-01-04T18:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T22:30:00Z,2008-01-04T18:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T23:00:00Z,2008-01-04T19:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-04T23:30:00Z,2008-01-04T19:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T00:00:00Z,2008-01-04T20:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T00:30:00Z,2008-01-04T20:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T01:00:00Z,2008-01-04T21:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T01:30:00Z,2008-01-04T21:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T02:00:00Z,2008-01-04T22:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T02:30:00Z,2008-01-04T22:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T03:00:00Z,2008-01-04T23:22:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T03:30:00Z,2008-01-04T23:52:32Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T04:00:00Z,2008-01-05T00:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T04:30:00Z,2008-01-05T00:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T05:00:00Z,2008-01-05T01:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T05:30:00Z,2008-01-05T01:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T06:00:00Z,2008-01-05T02:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T06:30:00Z,2008-01-05T02:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T07:00:00Z,2008-01-05T03:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T07:30:00Z,2008-01-05T03:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T08:00:00Z,2008-01-05T04:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T08:30:00Z,2008-01-05T04:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T09:00:00Z,2008-01-05T05:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T09:30:00Z,2008-01-05T05:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T10:00:00Z,2008-01-05T06:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T10:30:00Z,2008-01-05T06:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T11:00:00Z,2008-01-05T07:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T11:30:00Z,2008-01-05T07:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T12:00:00Z,2008-01-05T08:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T12:30:00Z,2008-01-05T08:52:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008-01-05T13:00:00Z,2008-01-05T09:22:07Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
